name	created	released	status	source	title
d	c	c	d	d	d
meta					meta
10CAIRO161	2010	2011	CONFIDENTIAL	Embassy Cairo	AFTER CONTROVERSY, NDP MEMBER RECEIVES WARNING FOR MEETING 
07REYKJAVIK346	2007	2011	UNCLASSIFIED	Embassy Reykjavik	Icelandic Foreign Ministry welcomes DHS letter on 
07LONDON3175	2007	2010	CONFIDENTIAL	Embassy London	IRAN: BROTHER OF IRGC'S SAFAVI SAYS A U.S. TERROR
08LONDON3038	2008	2011	CONFIDENTIAL//NOFORN	Embassy London	SOMALIA: UNDERSTANDING AND COUNTERING UK OPPOSITION TO A PEACEKEEPING OPERATION REF: A. STATE 127595 B.
10CAIRO47	2010	2011	CONFIDENTIAL	Embassy Cairo	SCENESETTER FOR A/S POSNER'S JANUARY 12-15 
09STATE130735	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Secretary of State	EGYPT LEAHY VETTING RESPONSE 99342 THRU 99365 AND 
06MADRID779	2006	2011	CONFIDENTIAL	Embassy Madrid	SPAIN: AMBASSADOR,S MEETING WITH FM MORATINOS
07MINSK620	2007	2010	CONFIDENTIAL	Embassy Minsk	LUKASHENKO REMOVES BELARUSIAN KGB CHIEF
08LONDON1924	2008	2011	CONFIDENTIAL	Embassy London	CENTRAL ASIA/TURKMENISTAN: UK PRIORITIES IN 
09TALLINN317	2009	2010	CONFIDENTIAL	Embassy Tallinn	Estonian FM Visit to Belarus; Lukashenko Goes On (and On and 
04BRUSSELS1868	2004	2010	CONFIDENTIAL	Embassy Brussels	DINING WITH CHRIS: RANDOM THOUGHTS FROM RELEX 
06BRASILIA2583	2006	2010	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Brasilia	SCENESETTER FOR THE VISIT OF ASSISTANT SECRETARY MCMURRAY 
09STATE118094	2009	2010	CONFIDENTIAL	Secretary of State	DEMARCHE REQUEST: MANAGING THE VISIT OF IRANIAN PRESIDENT AHMADINEJAD TO BRAZIL (S/ES: 200921227) 
09SANSALVADOR928	2009	2010	SECRET//NOFORN	Embassy San Salvador	(S/NF) FUNES'S RELATIONSHIP WITH THE FMLN 
09TRIPOLI212	2009	2011	SECRET//NOFORN	Embassy Tripoli	GENERAL PEOPLE'S CONGRESS SHUFFLES CABINET, POSTPONES WEALTH 
09BRUSSELS1580	2009	2010	SECRET	Embassy Brussels	SCENESETTER FOR BILATERAL MEETINGS WITH BELGIAN 
09TRIPOLI695	2009	2011	SECRET	Embassy Tripoli	LIBYAN MFA REQUESTS DIPLOMATIC CLEARANCE FOR QADHAFI'S PLANE, TAKES STEPS TO DEMONSTRATE COMMITMENT TO RELATIONSHIP REF: TRIPOLI 692 TRIPOLI 00000695 001.2 OF 002 
09TRIPOLI650	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	LIBYA HOSTING SEPARATE HIGH-LEVEL MEETINGS FOR JEM, SLA/U 
10ABUDHABI33	2010	2010	SECRET//NOFORN	Embassy Abu Dhabi	UAE FM DISCUSSES TALIBAN FINANCIAL FLOWS AND REINTEGRATION 
09UNVIEVIENNA220	2009	2011	SECRET	UNVIE	IAEA/EGYPT: SAFEGUARDS IMPLEMENTATION REPORT CITES 
09PARIS1416	2009	2010	CONFIDENTIAL	Embassy Paris	MARCH 2010 REGIONAL ELECTIONS PREVIEW SARKOZY'S
08ROME1541	2008	2010	SECRET	Embassy Rome	REQUEST FOR CRISIS MANAGEMENT TRAINING FOR VATICAN 
08LONDON2629	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy London	x
08ASTANA760	2008	2010	CONFIDENTIAL	Embassy Astana	LIFESTYLES OF THE KAZAZHSTANI LEADERSHIP 
09BEIJING2964	2009	2010	SECRET	Embassy Beijing	DEPUTY SECRETARY STEINBERG'S XXXXXXXXXXXX MEETING WITH XXXXXXXXXXXX
09BRASILIA613	2009	2011	CONFIDENTIAL	Embassy Brasilia	LAAD ,09 -- DEFENSE MODERNIZATION MEANS BUSINESS 
06REYKJAVIK428	2006	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	Iceland: Water Damage at former U.S. base poses first 
10STATE15082	2010	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Secretary of State	EGYPT LEAHY VETTING RESPONSE - 99546 THRU 99560 
09BERLIN1609	2009	2010	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Berlin	GERMANY'S NEW DEVELOPMENT MINISTER CONNECTS 
09HAVANA197	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	US Interests Section Havana	SCENESETTER FOR VISIT OF CODEL LEE/KILPATRICK
10LONDON21	2010	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy London	x
10REYKJAVIK4	2010	2011	UNCLASSIFIED	Embassy Reykjavik	ICELAND: REFERENDUM RUMORS 
09VATICAN11	2009	2010	SECRET	Embassy Vatican	CHURCH UNITY ONE, CATHOLIC-JEWISH RELATIONS ZERO
09REYKJAVIK69	2009	2011	CONFIDENTIAL	Embassy Reykjavik	ICELAND: NO NEW AFGHANISTAN PLEDGES BEFORE ELECTIONS 
04MADRID527	2004	2010	CONFIDENTIAL	Embassy Madrid	SPANISH ELECTION OUTLOOK: ONE MONTH OUT, POPULAR 
09TRIPOLI359	2009	2011	CONFIDENTIAL	Embassy Tripoli	STATE MEDIA PULLS THE PLUG ON SAIF AL-ISLAM'S SATELLITE 
08TRIPOLI470	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	OIL- AND GAS-RELATED POLLUTION IN LIBYA 
08LONDON1939	2008	2011	CONFIDENTIAL//NOFORN	Embassy London	A POLITICAL BODY BLOW TO GORDON BROWN AS LABOUR 
08RIODEJANEIRO205	2008	2011	UNCLASSIFIED	Consulate Rio De Janeiro	Petrobras Launches Biofuels Subsidiary 
10RIYADH178	2010	2010	SECRET//NOFORN	Embassy Riyadh	SCENESETTER FOR SECRETARY CLINTON'S FEB 15-16 
07MADRID911	2007	2010	CONFIDENTIAL//NOFORN	Embassy Madrid	SCENESETTER FOR US-SPAIN HIGH LEVEL DEFENSE TALKS 
10BRASILIA45	2010	2010	CONFIDENTIAL//NOFORN	Embassy Brasilia	BRAZIL: AMBASSADOR'S MEETING WITH MRE SECRETARY-GENERAL PATRIOTA 
08BRASILIA1572	2008	2011	UNCLASSIFIED	Embassy Brasilia	SOUTH AMERICA ESTH NEWS, NUMBER 115 
06BRASILIA492	2006	2010	UNCLASSIFIED	Embassy Brasilia	BRAZIL'S FOREST CONCESSIONS BILL SIGNED INTO LAW, CONSIDERED A VICTORY FOR ENVIRONMENT MINISTER SILVA 
08BRASILIA1215	2008	2010	CONFIDENTIAL	Embassy Brasilia	Brazilian Concerns over Bolivian Gas Disruptions 
03THEHAGUE2597	2003	2011	CONFIDENTIAL	Embassy The Hague	DUTCH PUSH FOR TAYLOR TO FACE SPECIAL COURT FOR 
09KABUL3890	2009	2010	CONFIDENTIAL	Embassy Kabul	KANDAHAR POLITICS COMPLICATE U.S. OBJECTIVES IN AFGHANISTAN
04BRASILIA2263	2004	2010	CONFIDENTIAL	Embassy Brasilia	AMBASSADOR PRESENTS CREDENTIALS TO PRESIDENT LULA DA SILVA, 2 SEPTEMBER 2004 
10HARARE93	2010	2010	CONFIDENTIAL	Embassy Harare	XXXXXXXXXXXX?s observations on the political landscape and 
09STATE68807	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Secretary of State	EGYPT LEAHY VETTING RESPONSE 
07BEIJING1840	2007	2010	CONFIDENTIAL	Embassy Beijing	ZHEJIANG PARTY SECRETARY TOUTS ECONOMIC SUCCESSES 
10LONDON126	2010	2011	CONFIDENTIAL//NOFORN	Embassy London	SCOTLAND: INDEPENDENCE REFERENDUM NOT MOVING 
06PARIS953	2006	2010	CONFIDENTIAL	Embassy Paris	EUR PDAS VOLKER'S FEB 3 MEETING WITH SARKOZY 
09BEIJING1336	2009	2010	CONFIDENTIAL	Embassy Beijing	XXXXXXXXXXXXX
08TRIPOLI474	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	ENI'S OIL AND GAS DEAL EXTENDED, OTHER COMPANIES WORRY TERMS WILL SET A NEW (UNFAVORABLE) PRECEDENT  REF: 07 TRIPOLI 912  
09MOSCOW2946	2009	2010	CONFIDENTIAL	Embassy Moscow	PUTIN EXUDES LEADERSHIP DURING FOUR HOUR Q AND A 
07BAKU1227	2007	2010	CONFIDENTIAL	Embassy Baku	PRESIDENT ALIYEV ON ENERGY ISSUES IN ADVANCE OF 
07REYKJAVIK127	2007	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	Iceland: One third of voters still undecided two weeks 
09LONDON2447	2009	2011	CONFIDENTIAL//NOFORN	Embassy London	HMG APPROACH TO ENGAGING AFGHAN GOVERNMENT ON 
09REYKJAVIK12	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND: RUMBLE IN REYKJAVIK SHAKES GOVERNMENT 
